trade_date,date,ts_code,qfq_open,qfq_high,qfq_low,qfq_close,tr,n_20,n_for_signal,entry_high_20,exit_low_10,breakout_long,exit_long,stop_long,stop_price,target_units,position_units,shares,cash,trade_action,trade_reason,signal_date,execution_date,execution_price,trade_value,fee,slippage_cost,portfolio_value,strategy_return,benchmark_value,benchmark_return,drawdown,instrument_key,company_key,market,exchange,currency,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor,qfq_pre_close,qfq_change,qfq_pct_chg,signal,running_max
20260106,2026-01-06,00981.HK,77.0,78.9,75.4,75.6,3.5,3.260076073292648,3.2474484982027874,78.3,63.65,False,False,False,69.48565956076943,1,1,161.94852017546532,90579.47637932046,HOLD,,,,,0.0,0.0,0.0,102822.78450458564,-0.0014155165329569064,147945.20547945204,-0.01176470588235301,-0.04093694563265393,smic_h,smic,HK-share,HKEX,HKD,77.0,78.9,75.4,75.6,76.5,-0.9,-1.1765,100574288,,1,76.5,-0.9,-1.1765,0,107211.70421105789
20260107,2026-01-07,00981.HK,76.4,76.7,73.7,74.7,3.0,3.2470722696280157,3.260076073292648,78.9,64.8,False,False,False,69.48565956076943,1,1,161.94852017546532,90579.47637932046,HOLD,,,,,0.0,0.0,0.0,102677.03083642773,-0.0014175230602844202,146183.9530332681,-0.011904761904761751,-0.042296439628486504,smic_h,smic,HK-share,HKEX,HKD,76.4,76.7,73.7,74.7,75.6,-0.9,-1.1905,98807996,,1,75.6,-0.9,-1.1905,0,107211.70421105789
20260108,2026-01-08,00981.HK,74.6,77.45,74.1,74.95,3.3500000000000085,3.2522186561466158,3.2470722696280157,78.9,65.95,False,False,False,69.48565956076943,1,1,161.94852017546532,90579.47637932046,HOLD,,,,,0.0,0.0,0.0,102717.51796647158,0.00039431535674561147,146673.18982387474,0.0033467202141899133,-0.04191880240742196,smic_h,smic,HK-share,HKEX,HKD,74.6,77.45,74.1,74.95,74.7,0.25,0.3347,92810803,,1,74.7,0.25,0.3347,0,107211.70421105789
20260109,2026-01-09,00981.HK,75.5,76.25,73.5,74.4,2.75,3.2271077233392846,3.2522186561466158,78.9,68.3,False,False,False,69.48565956076943,1,1,161.94852017546532,90579.47637932046,HOLD,,,,,0.0,0.0,0.0,102628.44628037508,-0.0008671518535482425,145596.86888454013,-0.007338225483655592,-0.042749604293764176,smic_h,smic,HK-share,HKEX,HKD,75.5,76.25,73.5,74.4,74.95,-0.55,-0.7338,71074224,,1,74.95,-0.55,-0.7338,0,107211.70421105789
20260112,2026-01-12,00981.HK,74.5,75.5,73.35,75.3,2.1500000000000057,3.173252337172321,3.2271077233392846,78.9,69.55,False,False,False,69.48565956076943,1,1,161.94852017546532,90579.47637932046,HOLD,,,,,0.0,0.0,0.0,102774.199948533,0.0014202072957407719,147358.12133072407,0.012096774193548265,-0.04139011029793149,smic_h,smic,HK-share,HKEX,HKD,74.5,75.5,73.35,75.3,74.4,0.9,1.2097,64618788,,1,74.4,0.9,1.2097,0,107211.70421105789
20260113,2026-01-13,00981.HK,75.2,76.15,73.25,74.45,2.9000000000000057,3.159589720313705,3.173252337172321,78.9,69.55,False,False,False,69.48565956076943,1,1,161.94852017546532,90579.47637932046,HOLD,,,,,0.0,0.0,0.0,102636.54370638386,-0.0013394046581541863,145694.71624266144,-0.011288180610889875,-0.04267407684955116,smic_h,smic,HK-share,HKEX,HKD,75.2,76.15,73.25,74.45,75.3,-0.85,-1.1288,69713451,,1,75.3,-0.85,-1.1288,0,107211.70421105789
20260114,2026-01-14,00981.HK,74.6,76.45,74.15,75.95,2.299999999999997,3.1166102342980198,3.159589720313705,78.9,70.45,False,False,False,69.48565956076943,1,1,161.94852017546532,90579.47637932046,HOLD,,,,,0.0,0.0,0.0,102879.46648664706,0.0023668254160831292,148630.13698630137,0.020147750167897938,-0.04040825352316346,smic_h,smic,HK-share,HKEX,HKD,74.6,76.45,74.15,75.95,74.45,1.5,2.0148,80458547,,1,74.45,1.5,2.0148,0,107211.70421105789
20260115,2026-01-15,00981.HK,75.5,78.4,74.95,77.35,3.450000000000003,3.133279722583119,3.1166102342980198,78.9,70.8,False,False,False,69.48565956076943,1,1,161.94852017546532,90579.47637932046,HOLD,,,,,0.0,0.0,0.0,103106.1944148927,0.0022038209954662324,151369.8630136986,0.018433179723502224,-0.038293485085201584,smic_h,smic,HK-share,HKEX,HKD,75.5,78.4,74.95,77.35,75.95,1.4,1.8433,72736228,,1,75.95,1.4,1.8433,0,107211.70421105789
20260116,2026-01-16,00981.HK,78.8,79.7,77.6,79.2,2.3500000000000085,3.0941157364539635,3.133279722583119,78.9,70.8,True,False,False,69.48565956076943,1,1,161.94852017546532,90579.47637932046,HOLD,,,,,0.0,0.0,0.0,103405.79917721731,0.002905788192695935,154990.21526418786,0.023917259211376996,-0.03549896964932342,smic_h,smic,HK-share,HKEX,HKD,78.8,79.7,77.6,79.2,77.35,1.85,2.3917,88248919,,1,77.35,1.85,2.3917,1,107211.70421105789
20260119,2026-01-19,00981.HK,79.2,80.1,77.0,77.0,3.0999999999999943,3.094409949631265,3.0941157364539635,79.7,73.25,False,False,False,69.48565956076943,1,1,161.94852017546532,90579.47637932046,HOLD,,,,,0.0,0.0,0.0,103049.5124328313,-0.0034455199536286285,150684.9315068493,-0.02777777777777779,-0.03882217719469194,smic_h,smic,HK-share,HKEX,HKD,79.2,80.1,77.0,77.0,79.2,-2.2,-2.7778,52927092,,1,79.2,-2.2,-2.7778,0,107211.70421105789
